category,name,broad,price,feature,discount,link,new
拉手和拉钮,把手,伯格汉姆,¥ 30.00,,False,http://www.ikea.com/cn/zh/catalog/products/30322886/,False
拉手和拉钮,把手,伯格汉姆,¥ 100.00,,False,http://www.ikea.com/cn/zh/catalog/products/30322886/,False
拉手和拉钮,把手,兰萨,¥ 80.00,,False,http://www.ikea.com/cn/zh/catalog/products/30322886/,False
文件和多媒体储藏件,信盘,克维索,¥ 149.00,,False,http://www.ikea.com/cn/zh/catalog/products/70367788/,False
文件和多媒体储藏件,电线管理盒,克维索,¥ 49.00,,False,http://www.ikea.com/cn/zh/catalog/products/70367788/,False
儿童餐具,餐具18件套,卡拉斯,¥ 9.90,,False,http://www.ikea.com/cn/zh/catalog/products/80300815/,False
儿童餐具,刀叉金属餐具3件套,斯玛卡,¥ 19.90,,False,http://www.ikea.com/cn/zh/catalog/products/80300815/,False
儿童餐具,午餐盒,斯玛卡,¥ 9.90,,False,http://www.ikea.com/cn/zh/catalog/products/80300815/,False
儿童餐具,杯,斯玛卡,¥ 9.90,,False,http://www.ikea.com/cn/zh/catalog/products/80300815/,False
儿童用品8-12,椅垫,IKEA PS 昂德巴,¥ 24.90,,False,http://www.ikea.com/cn/zh/catalog/products/00323533/,False
儿童用品8-12,椅垫,IKEA PS 昂德巴,¥ 24.90,,False,http://www.ikea.com/cn/zh/catalog/products/00323533/,False
儿童用品8-12,椅垫,IKEA PS 昂德巴,¥ 24.90,,False,http://www.ikea.com/cn/zh/catalog/products/00323533/,False
儿童用品8-12,儿童衣架,VÄNSKAPLIG 凡卡利,¥ 29.90,,False,http://www.ikea.com/cn/zh/catalog/products/00323533/,False
小型储物装置,儿童衣架,巴吉思,¥ 9.90,,False,http://www.ikea.com/cn/zh/catalog/products/20296294/,False
小型储物装置,儿童衣架,汉佳,¥ 19.90,,False,http://www.ikea.com/cn/zh/catalog/products/20296294/,False
婴儿餐具,餐具4件,玛塔,¥ 14.90,,False,http://www.ikea.com/cn/zh/catalog/products/60307224/,False
儿童椅,书桌椅,乌尔班,¥ 349.00,,False,http://www.ikea.com/cn/zh/catalog/products/50253537/,False
儿童椅,书桌椅,乌尔班,¥ 349.00,,False,http://www.ikea.com/cn/zh/catalog/products/50253537/,False
儿童椅,书桌椅,英格弗,¥ 399.00,,False,http://www.ikea.com/cn/zh/catalog/products/50253537/,False
